#List here the run numbers for each task type
Subject	Task	Runs
S05	LocRun	1,2
S09	LocRun	1,2
S12	LocRun	1,2
S14	LocRun	1,2
S15	LocRun	3,4
S16	LocRun	1,2
S18	LocRun	1,2
S20	LocRun	1,2
S23	LocRun	1,2
S25	LocRun	1,2
S28	LocRun	1,2
S32	LocRun	1,2
S36	LocRun	1,2
S37	LocRun	1,2
S38	LocRun	1,2
S43	LocRun	1,2
S56	LocRun	1,2
S62	LocRun	1,2
S67	LocRun	1,2
S69	LocRun	1,2
S70	LocRun	1,2
S72	LocRun	1,2
S73	LocRun	1,2
S75	LocRun	1,2
S77	LocRun	1,2
S78	LocRun	1,2
S79	LocRun	1,2
S80	LocRun	1,2
S84	LocRun	1,2
S85	LocRun	1,2
S86	LocRun	1,2
S90	LocRun	1,2
S91	LocRun	1,2
S94	LocRun	1,2
S95	LocRun	1,2
S96	LocRun	1,2
S97	LocRun	1,2
S99	LocRun	1,2
S100	LocRun	1,2
S104	LocRun	1,2
S106	LocRun	1,2
S109	LocRun	1,2
